MUNICÍPIO,MÊS,PRODUTO,ESTADO,REGIÃO,PREÇO PONDERADO,PREÇO PONDERADO MÍNIMO,PREÇO PONDERADO MÁXIMO,NÚMERO DE POSTOS PESQUISADOS
FRANCA,2019-01-31,ETANOL HIDRATADO,SAO PAULO,SUDESTE,2.345548387096774,2.252612903225806,2.534548387096774,110.0
JOAO MONLEVADE,2019-01-31,ETANOL HIDRATADO,MINAS GERAIS,SUDESTE,2.8889354838709678,2.779032258064516,3.0310967741935486,40.0
PALMEIRA DOS INDIOS,2019-01-31,ETANOL HIDRATADO,ALAGOAS,NORDESTE,3.4021612903225797,3.255161290322581,3.498903225806452,37.0
ASSIS,2018-12-31,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.4,3.169,3.589,13.0
CAICO,2019-01-31,ÓLEO DIESEL,RIO GRANDE DO NORTE,NORDESTE,3.55758064516129,3.5064516129032257,3.600322580645161,32.0
CORONEL FABRICIANO,2019-01-31,ÓLEO DIESEL,MINAS GERAIS,SUDESTE,3.4981935483870967,3.460677419354839,3.5325483870967744,15.0
JARAGUA DO SUL,2018-12-31,ÓLEO DIESEL,SANTA CATARINA,SUL,3.309,3.049,3.599,6.0
MANAUS,2018-12-31,ÓLEO DIESEL,AMAZONAS,NORTE,3.695,3.55,3.85,30.0
PALMAS,2019-01-31,ÓLEO DIESEL,TOCANTINS,NORTE,3.4323225806451614,3.2034193548387098,3.593548387096774,28.0
PARAGUACU PAULISTA,2019-01-31,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.4610000000000003,3.317709677419355,3.599,30.0
PETROPOLIS,2018-12-31,ÓLEO DIESEL,RIO DE JANEIRO,SUDESTE,3.624,3.549,3.799,9.0
PRESIDENTE PRUDENTE,2019-01-31,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.38758064516129,3.281483870967742,3.4822258064516127,56.0
SAO ROQUE,2018-12-31,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.349,3.199,3.499,2.0
ITABAIANA,2019-01-31,ÓLEO DIESEL S10,SERGIPE,NORDESTE,3.419935483870968,3.308064516129032,3.5384193548387097,35.0
PELOTAS,2019-01-31,ÓLEO DIESEL S10,RIO GRANDE DO SUL,SUL,3.608580645161291,3.3969354838709678,3.8751290322580645,59.0
BRAGANCA PAULISTA,2018-12-31,GASOLINA COMUM,SAO PAULO,SUDESTE,3.981,3.899,4.099,13.0
FORMOSA,2019-01-31,GASOLINA COMUM,GOIAS,CENTRO OESTE,4.359354838709677,4.221322580645161,4.497387096774194,55.0
LINHARES,2019-01-31,GASOLINA COMUM,ESPIRITO SANTO,SUDESTE,4.596290322580645,4.410354838709678,4.704516129032258,55.0
BRASILIA,2018-12-31,GLP,DISTRITO FEDERAL,CENTRO OESTE,73.095,65.0,95.0,42.0
FRUTAL,2018-12-31,GLP,MINAS GERAIS,SUDESTE,70.4,70.0,72.0,5.0
JAGUAQUARA,2018-12-31,GLP,BAHIA,NORDESTE,55.0,55.0,55.0,2.0
JALES,2018-12-31,GLP,SAO PAULO,SUDESTE,70.58,68.0,75.0,5.0
PARA DE MINAS,2019-01-31,GLP,MINAS GERAIS,SUDESTE,71.08609677419355,67.06451612903226,77.16129032258064,15.0
TOLEDO,2018-12-31,GLP,PARANA,SUL,76.75,70.0,80.0,12.0
BAURU,2018-12-31,GNV,SAO PAULO,SUDESTE,3.359,3.359,3.359,1.0
CAMETA,2019-02-28,ETANOL HIDRATADO,PARA,NORTE,3.0749999999999997,3.0749999999999997,3.0749999999999997,4.0
JOAO MONLEVADE,2019-02-28,ETANOL HIDRATADO,MINAS GERAIS,SUDESTE,2.8852499999999996,2.758035714285714,3.0496785714285717,40.0
ALVORADA,2019-02-28,ÓLEO DIESEL,RIO GRANDE DO SUL,SUL,3.484857142857143,3.199,3.799,12.0
ITACOATIARA,2019-02-28,ÓLEO DIESEL,AMAZONAS,NORTE,3.8482857142857143,3.7925,3.9707142857142856,46.0
XINGUARA,2019-02-28,ÓLEO DIESEL,PARA,NORTE,3.6224642857142855,3.4894285714285713,3.8125,27.0
PARAISO DO TOCANTINS,2019-02-28,ÓLEO DIESEL S10,TOCANTINS,NORTE,3.6547857142857145,3.332571428571429,4.800000000000001,40.0
PARAUAPEBAS,2019-02-28,ÓLEO DIESEL S10,PARA,NORTE,4.054107142857142,3.9542857142857146,4.144821428571428,45.0
GRAMADO,2019-02-28,GASOLINA COMUM,RIO GRANDE DO SUL,SUL,4.6818928571428575,4.628785714285714,4.725785714285714,30.0
JACAREI,2019-02-28,GASOLINA COMUM,SAO PAULO,SUDESTE,3.925,3.7725714285714287,4.068642857142858,80.0
LUZIANIA,2019-02-28,GASOLINA COMUM,GOIAS,CENTRO OESTE,4.2039285714285715,4.076214285714285,4.3997142857142855,65.0
PASSO FUNDO,2019-02-28,GASOLINA COMUM,RIO GRANDE DO SUL,SUL,4.17525,3.8996785714285718,4.551857142857143,60.0
BRUMADO,2019-02-28,GLP,BAHIA,NORDESTE,59.25,57.0,60.0,20.0
CORONEL FABRICIANO,2019-02-28,GLP,MINAS GERAIS,SUDESTE,71.32857142857142,66.25,75.0,25.0
PARACATU,2019-02-28,GLP,MINAS GERAIS,SUDESTE,67.74107142857143,65.0,70.0,40.0
TATUI,2019-02-28,GLP,SAO PAULO,SUDESTE,69.85267857142857,65.0,75.67857142857143,40.0
UBATUBA,2019-02-28,GLP,SAO PAULO,SUDESTE,66.20092857142856,60.0,70.0,55.0
ARAGUAINA,2019-03-31,ÓLEO DIESEL,TOCANTINS,NORTE,3.4461612903225802,3.3402903225806453,3.5932258064516125,48.0
ITAPEVA,2019-03-31,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.581096774193548,3.2873870967741934,3.8279999999999994,42.0
ITU,2019-03-31,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.409548387096774,3.299,3.638354838709678,54.0
AMERICANA,2019-03-31,ÓLEO DIESEL S10,SAO PAULO,SUDESTE,3.441258064516129,3.266967741935484,3.569967741935484,60.0
MINEIROS,2019-03-31,ÓLEO DIESEL S10,GOIAS,CENTRO OESTE,3.655838709677419,3.5980967741935483,3.769677419354839,42.0
ARARUAMA,2019-03-31,GASOLINA COMUM,RIO DE JANEIRO,SUDESTE,4.746935483870968,4.583612903225807,4.914645161290322,66.0
LINHARES,2019-03-31,GASOLINA COMUM,ESPIRITO SANTO,SUDESTE,4.449870967741935,4.360967741935483,4.889999999999999,66.0
