ESTADO,MÊS,PRODUTO,REGIÃO,PREÇO PONDERADO POR MÊS,PREÇO MÁXIMO PONDERADO,PREÇO MÍNIMO PONDERADO
MATO GROSSO DO SUL,2019-08-31,ÓLEO DIESEL S10,CENTRO OESTE,3.6947121212121217,3.8805454545454543,3.5441060606060604
MINAS GERAIS,2019-08-31,GLP,SUDESTE,69.65099017681733,75.19390962671908,65.03003929273085
RIO GRANDE DO SUL,2018-12-31,GLP,SUL,70.27853315649868,76.19920424403182,65.2236074270557
SANTA CATARINA,2019-08-31,ÓLEO DIESEL S10,SUL,3.523282407407408,3.722162037037036,3.3301388888888885
SERGIPE,2019-04-30,ÓLEO DIESEL S10,NORDESTE,3.7337189279731993,3.8572438860971525,3.56975175879397
TOCANTINS,2018-12-31,ETANOL HIDRATADO,NORTE,3.7095405405405404,3.8614324324324323,3.548459459459459
ALAGOAS,2019-05-31,GASOLINA COMUM,NORDESTE,4.735745710363761,4.937131548844658,4.574836993822924
AMAZONAS,2018-12-31,ÓLEO DIESEL,NORTE,3.7740444444444443,3.882888888888889,3.672222222222222
PARA,2019-03-31,ETANOL HIDRATADO,NORTE,3.7635510204081633,3.9244355935922752,3.6333515470704407
PARANA,2019-01-31,ETANOL HIDRATADO,SUL,2.875375453330788,3.0325265404570616,2.7413984452272295
PERNAMBUCO,2019-05-31,ÓLEO DIESEL S10,NORDESTE,3.6332889569646416,3.7699877463645084,3.5176038606333497
PIAUI,2019-07-31,ÓLEO DIESEL S10,NORDESTE,3.746526674937965,3.8967963192721253,3.6097828784119104
TOCANTINS,2019-07-31,ETANOL HIDRATADO,NORTE,3.6898945884011987,3.9629837828309533,3.474956812973735
AMAPA,2019-04-30,GASOLINA COMUM,NORTE,4.031233333333333,4.55304761904762,3.9106666666666667
MINAS GERAIS,2019-03-31,GASOLINA COMUM,SUDESTE,4.671312203476763,4.826408950193255,4.5321129673389375
PARA,2019-08-31,GASOLINA COMUM,NORTE,4.667415929203539,4.813575221238938,4.540309734513275
PARAIBA,2019-08-31,GLP,NORDESTE,68.34543636363637,71.72727272727273,65.56363636363636
PERNAMBUCO,2019-03-31,ETANOL HIDRATADO,NORDESTE,3.2616081448523055,3.4353719255963413,3.1463493078729456
SERGIPE,2019-02-28,ÓLEO DIESEL S10,NORDESTE,3.574920535714286,3.6964919642857144,3.3736410714285716
SERGIPE,2019-07-31,ÓLEO DIESEL S10,NORDESTE,3.671392834987593,3.826930986352357,3.5058692617866005
AMAZONAS,2019-07-31,GNV,NORTE,2.1429032258064518,2.1429032258064518,2.1429032258064518
GOIAS,2018-12-31,ÓLEO DIESEL,CENTRO OESTE,3.4739294871794875,3.6954102564102564,3.294384615384615
PARAIBA,2018-12-31,ETANOL HIDRATADO,NORDESTE,3.067915254237288,3.274305084745763,2.949322033898305
PARANA,2019-08-31,ÓLEO DIESEL S10,SUL,3.4211600000000004,3.6300533333333336,3.215813333333333
PERNAMBUCO,2019-02-28,ETANOL HIDRATADO,NORDESTE,3.1638210190039318,3.3292346821756222,3.0511079210353866
RIO DE JANEIRO,2019-06-30,GNV,SUDESTE,3.161365510864539,3.320116736014794,3.046977531206657
